"key","severity","type","message","component"
"06693322-f7bf-4681-86d1-2a7374f2d6e4","MAJOR","CODE_SMELL","Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"f20486ab-1d7a-4245-b115-10c719ca6ed4","MINOR","BUG","Visible, non-interactive elements with click handlers must have at least one keyboard listener.","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"c811d9c7-62ff-4f29-b56d-eff51caf66fe","MAJOR","CODE_SMELL","A form label must be associated with a control.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"208f21e3-18e0-45ac-9a64-76c9d0636056","MAJOR","CODE_SMELL","A form label must be associated with a control.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"ec570a2d-614f-4dc4-a88e-21b38f38b497","MAJOR","CODE_SMELL","A form label must be associated with a control.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"ee1e3939-0f32-4948-9a40-e3d85535e6de","MAJOR","CODE_SMELL","A form label must be associated with a control.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"8a11f8be-e13d-4376-92df-bf2eccfcca0e","MINOR","CODE_SMELL","'FormEventHandler' is deprecated.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"9119737c-4ba5-43b3-bf39-c56468656dd5","MAJOR","BUG","Promise-returning function provided to variable where a void return was expected.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"fe47a794-684b-49a9-9353-629efa88d8af","MINOR","CODE_SMELL","'FormEventHandler' is deprecated.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"adf72171-751b-4dff-a172-1d1f4d9f1bb9","MAJOR","BUG","Promise-returning function provided to variable where a void return was expected.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"74811123-86ab-4358-86bf-f758494029e2","MINOR","CODE_SMELL","'FormEventHandler' is deprecated.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"7b3f2f8f-86f1-4bba-bc48-49abc3fdbcc9","MAJOR","BUG","Promise-returning function provided to variable where a void return was expected.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"239bfdbf-2ee3-4ef5-86f4-c0beea570022","MINOR","CODE_SMELL","'FormEventHandler' is deprecated.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"2fd87992-db9b-45b5-96de-3808fc777d3c","MAJOR","BUG","Promise-returning function provided to variable where a void return was expected.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"3b6cc572-359b-47e3-ade9-1f2b3faec354","MAJOR","BUG","Promise-returning function provided to variable where a void return was expected.","full-stack-web-dev:frontend/src/pages/Register.tsx"
"cfdde915-2c60-464b-80a8-3fb64f6b2ee4","MINOR","CODE_SMELL","'FormEventHandler' is deprecated.","full-stack-web-dev:frontend/src/pages/Register.tsx"
"fed36543-e0f4-4ed8-99fc-95407484cfd9","MINOR","CODE_SMELL","Prefer `globalThis` over `window`.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"e78a4bc6-627b-4d99-8227-1daa4974e9d2","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement.","full-stack-web-dev:frontend/src/pages/LeaveManagement.tsx"
"51ec3baf-0464-41a8-bc55-b8bdde30e35f","MINOR","CODE_SMELL","Prefer `globalThis` over `window`.","full-stack-web-dev:frontend/src/axios.ts"
"01d83eee-c968-4902-a20f-63007e02a508","MINOR","CODE_SMELL","Unexpected negated condition.","full-stack-web-dev:backend/src/auth/auth.service.ts"
"bdca94aa-7995-48d6-88eb-c3bbd900a74c","MAJOR","CODE_SMELL","Prefer using an optional chain expression instead, as it's more concise and easier to read.","full-stack-web-dev:backend/src/auth/auth.service.ts"
"a5deaf22-3925-41bb-ae97-b2e1a6597392","MINOR","CODE_SMELL","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","full-stack-web-dev:backend/src/auth/auth.service.ts"
"ea380b10-2ceb-471d-81fc-d07d89e50fb7","MAJOR","CODE_SMELL","Ambiguous spacing after previous element span","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"d27e4299-e265-4706-bbed-dbcb0dce880d","MAJOR","CODE_SMELL","Ambiguous spacing after previous element span","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"756e612a-3e7e-46e4-8bd5-187c65ceec94","MAJOR","CODE_SMELL","Ambiguous spacing after previous element span","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"e45c9c6c-7998-4cbe-a1e9-68789bdb64c2","MAJOR","CODE_SMELL","Ambiguous spacing after previous element span","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"7a24e520-d7d1-4672-9106-aaaaefa84416","MAJOR","CODE_SMELL","Ambiguous spacing after previous element span","full-stack-web-dev:frontend/src/components/LeaveLayout.tsx"
"8e52baf9-e295-4e63-a0f9-019d07eba6be","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"b6b23616-8e85-4d42-b4f5-f9695b5b73cb","MINOR","CODE_SMELL","Unexpected extra semicolon (@stylistic/no-extra-semicolons)","full-stack-web-dev:frontend/src/index.css"
"97d86a24-bf1d-41d6-9359-7f9d81b283e7","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"580b133c-b255-49a2-b143-c30fe2c2acef","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"2aab1807-034b-4ffb-94ec-a95f7fe33b46","MINOR","CODE_SMELL","Unexpected extra semicolon (@stylistic/no-extra-semicolons)","full-stack-web-dev:frontend/src/index.css"
"b3678e12-f828-4432-9756-960a98736436","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"9c43d574-4272-4977-afcd-1a226dd9f024","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"46851771-6b46-433f-a2ce-d154a1396633","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"107f9dac-32bf-4024-a9aa-87e5dc8be32a","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"16a1b940-cc97-497e-9683-858d16de7bed","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"cae0f29e-f68a-4249-8cfe-727d13f5c02c","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"0abbb6d5-b946-411b-aadd-e66acfc53620","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"378e6bc5-a12e-4995-8313-5116c9e53f3b","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"14e22afa-d662-49ef-91fc-429aca895710","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"8a7b69a5-3d47-4bc6-9fb1-c93a1c295c1c","MINOR","CODE_SMELL","Unexpected extra semicolon (@stylistic/no-extra-semicolons)","full-stack-web-dev:frontend/src/index.css"
"7492b7e9-1c17-4914-8bb6-8a790041927d","MINOR","CODE_SMELL","Prefer `globalThis` over `window`.","full-stack-web-dev:frontend/src/pages/DepartmentLeaveDashboard.tsx"
"c28540ba-85e2-4d43-8000-124609b13e3a","MINOR","CODE_SMELL","Prefer `globalThis` over `window`.","full-stack-web-dev:frontend/src/pages/DepartmentLeaveDashboard.tsx"
"76695c53-b7ee-4ea0-a7b4-5cc517d0be5a","MAJOR","CODE_SMELL","Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","full-stack-web-dev:frontend/src/pages/DepartmentLeaveDashboard.tsx"
"c9111a44-bd68-4882-974d-f93b81abb65b","MINOR","BUG","Visible, non-interactive elements with click handlers must have at least one keyboard listener.","full-stack-web-dev:frontend/src/pages/DepartmentLeaveDashboard.tsx"
"2cf6f787-5f55-45f7-a777-795c0cbd4c06","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement.","full-stack-web-dev:frontend/src/pages/DepartmentLeaveDashboard.tsx"
"a0f6b9eb-2b57-4609-b693-719107557e55","CRITICAL","BUG","Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","full-stack-web-dev:frontend/src/pages/LogLeaveDashboard.tsx"
"922555a4-b98e-4b8f-927f-b53929e3f213","MAJOR","CODE_SMELL","Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","full-stack-web-dev:frontend/src/pages/LogLeaveDashboard.tsx"
"a9c31169-b1f1-46e2-8e8b-909fa0dd7688","MINOR","BUG","Visible, non-interactive elements with click handlers must have at least one keyboard listener.","full-stack-web-dev:frontend/src/pages/LogLeaveDashboard.tsx"
"5a432d26-f916-4374-be98-d4d4114554fe","MINOR","BUG","Visible, non-interactive elements with click handlers must have at least one keyboard listener.","full-stack-web-dev:frontend/src/pages/LogLeaveDashboard.tsx"
"961af885-c67a-43fb-a7e6-40eb74863e2a","MAJOR","CODE_SMELL","Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","full-stack-web-dev:frontend/src/pages/LogLeaveDashboard.tsx"
"15a0c3d3-aa7d-41d2-98fc-11bd513cd1b3","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement.","full-stack-web-dev:frontend/src/pages/PersonalLeaveDashboard.tsx"
"e4321988-e311-4229-ab25-7a049894700e","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"deb01c65-ac87-4ef3-acaa-12d204e13d19","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"f21bf0d1-07ad-4cf6-83f6-6f0f07ac76a5","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"c9550241-4893-4608-80c1-34dd3513d0eb","MINOR","CODE_SMELL","Prefer `String#replaceAll()` over `String#replace()`.","full-stack-web-dev:frontend/src/pages/Login.tsx"
"43ef4559-2db5-4c8d-9971-8560b6e59789","MINOR","CODE_SMELL","'FormEvent' is deprecated.","full-stack-web-dev:frontend/src/pages/TwoFactorSetup.tsx"
"cbf95cc6-2f1a-4a4c-80db-f55d489f3011","MINOR","CODE_SMELL","'FormEvent' is deprecated.","full-stack-web-dev:frontend/src/pages/TwoFactorSetup.tsx"
"e8348c84-1e3a-4df7-92d4-694dd4c2dd6c","MINOR","CODE_SMELL","Prefer `String#replaceAll()` over `String#replace()`.","full-stack-web-dev:frontend/src/pages/TwoFactorSetup.tsx"
"5eda2c8b-bb5a-458d-a563-9365051aa61c","MINOR","CODE_SMELL","Prefer `String#replaceAll()` over `String#replace()`.","full-stack-web-dev:frontend/src/pages/TwoFactorSetup.tsx"
"1f513175-27be-49b8-93c3-22a0bb09a529","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"164d1fc1-0bc2-4f29-b023-9fd3e1e9c4d3","MAJOR","CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","full-stack-web-dev:frontend/src/index.css"
"9a922761-f228-4688-8119-d8f3644f2ec5","MAJOR","CODE_SMELL","Member 'configService: ConfigService' is never reassigned; mark it as `readonly`.","full-stack-web-dev:backend/src/auth/strategies/google.strategy.ts"
"9db9cf36-5595-45ff-aeb2-47062403741f","MAJOR","CODE_SMELL","Prefer top-level await over using a promise chain.","full-stack-web-dev:backend/src/main.ts"
"3e0d136d-2a4d-42d3-afe6-1674a944fec1","MINOR","CODE_SMELL","Prefer `globalThis` over `window`.","full-stack-web-dev:frontend/src/services/authService.ts"
"ad1b1a73-e80e-451b-9f3c-ad1944b003c3","MAJOR","CODE_SMELL","Prefer using an optional chain expression instead, as it's more concise and easier to read.","full-stack-web-dev:frontend/src/axios.ts"
"b9054a2d-4d50-4a60-ba25-258da6348dde","MAJOR","CODE_SMELL","Prefer `throw error` over `return Promise.reject(error)`.","full-stack-web-dev:frontend/src/axios.ts"
"5aae7a4a-36c6-4063-bf81-1d240e563666","MINOR","CODE_SMELL","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","full-stack-web-dev:frontend/src/axios.ts"
"451ee32c-e7de-481a-8b77-2b3a2affd1e7","MAJOR","CODE_SMELL","Prefer `throw error` over `return Promise.reject(error)`.","full-stack-web-dev:frontend/src/axios.ts"
"19502f8b-dfec-424c-b7c2-b2921ffa4756","MAJOR","CODE_SMELL","Member 'reflector: Reflector' is never reassigned; mark it as `readonly`.","full-stack-web-dev:backend/src/auth/roles.guard.ts"
